t[s]	U[V]	I[A]	Piro[°C]	TC-K[°C]
  3,770	 -0,082	  0,091	700,032	882,718
  3,780	 -0,077	  0,090	700,003	882,718
  3,790	 -0,080	  0,091	700,024	882,718
  3,800	 -0,076	  0,091	700,064	882,718
  3,810	 -0,081	  0,095	700,055	882,718
  3,820	 -0,079	  0,097	700,047	882,718
  3,830	 -0,081	  0,100	700,039	882,718
  3,840	 -0,083	  0,101	700,036	882,718
  3,850	 -0,079	  0,105	700,046	882,718
  3,860	 -0,078	  0,105	700,047	882,718
  3,870	 -0,077	  0,106	700,049	882,718
  3,880	 -0,085	  0,106	700,051	882,718
  3,890	 -0,083	  0,106	700,056	882,718
  3,900	 -0,081	  0,101	700,071	882,718
  3,910	 -0,080	  0,099	700,087	882,718
  3,920	 -0,080	  0,100	700,085	882,718
  3,930	 -0,080	  0,100	700,084	882,718
  3,940	 -0,079	  0,095	700,068	882,718
  3,950	 -0,075	  0,093	700,063	882,718
  3,960	 -0,078	  0,087	700,030	882,718
  3,970	 -0,079	  0,091	700,038	882,718
  3,980	 -0,081	  0,096	700,063	882,718
  3,990	 -0,079	  0,096	700,058	882,718
  4,000	 -0,080	  0,097	700,052	882,718
  4,010	 -0,079	  0,102	700,059	882,718
  4,020	 -0,084	  0,103	700,064	882,718
  4,030	 -0,078	  0,101	700,042	882,718
  4,040	 -0,081	  0,102	700,037	882,718
  4,050	 -0,083	  0,108	700,062	882,718
  4,060	 -0,079	  0,108	700,076	882,718
  4,070	 -0,081	  0,109	700,132	882,718
  4,080	 -0,081	  0,106	700,103	882,718
  4,090	 -0,077	  0,103	700,057	882,718
  4,100	 -0,078	  0,099	700,030	882,718
  4,110	 -0,076	  0,098	700,011	882,718
  4,120	 -0,080	  0,098	700,049	882,718
  4,130	 -0,082	  0,098	700,060	882,718
  4,140	 -0,081	  0,093	700,052	882,718
  4,150	 -0,080	  0,090	700,052	882,718
  4,160	 -0,078	  0,085	700,055	882,718
  4,170	 -0,081	  0,091	700,065	882,718
  4,180	 -0,082	  0,096	700,083	882,718
  4,190	 -0,075	  0,096	700,089	882,718
  4,200	 -0,081	  0,097	700,095	882,718
  4,210	 -0,083	  0,100	700,088	882,718
  4,220	 -0,078	  0,101	700,085	882,718
  4,230	 -0,080	  0,108	700,075	882,718
  4,240	 -0,080	  0,110	700,074	882,718
  4,250	 -0,083	  0,114	700,080	882,718
  4,260	 -0,078	  0,110	700,059	882,725
  4,270	 -0,082	  0,106	700,007	882,742
  4,280	 -0,080	  0,102	699,993	882,730
  4,290	 -0,079	  0,100	699,978	882,718
  4,300	 -0,080	  0,098	700,027	882,718
  4,310	 -0,079	  0,098	700,051	882,718
  4,320	 -0,080	  0,095	700,085	882,718
  4,330	 -0,079	  0,094	700,091	882,718
  4,340	 -0,081	  0,093	700,084	882,718
  4,350	 -0,084	  0,093	700,070	882,718
  4,360	 -0,080	  0,092	700,027	882,718
  4,370	 -0,078	  0,094	700,026	882,718
  4,380	 -0,079	  0,095	700,026	882,718
  4,390	 -0,083	  0,099	700,084	882,718
  4,400	 -0,084	  0,100	700,119	882,718
  4,410	 -0,079	  0,103	700,099	882,718
  4,420	 -0,077	  0,103	700,094	882,718
  4,430	 -0,078	  0,102	700,131	882,718
  4,440	 -0,082	  0,105	700,122	882,718
  4,450	 -0,081	  0,108	700,083	882,718
  4,460	 -0,078	  0,110	700,057	882,718
  4,470	 -0,078	  0,111	700,016	882,718
  4,480	 -0,078	  0,102	700,075	882,718
  4,490	 -0,081	  0,100	700,120	882,718
  4,500	 -0,083	  0,101	700,097	882,718
  4,510	 -0,081	  0,100	700,090	882,718
  4,520	 -0,081	  0,093	700,078	882,718
  4,530	 -0,082	  0,091	700,077	882,718
  4,540	 -0,080	  0,087	700,080	882,718
  4,550	 -0,080	  0,091	700,069	882,718
  4,560	 -0,082	  0,094	700,046	882,718
  4,570	 -0,077	  0,099	700,045	882,718
  4,580	 -0,083	  0,101	700,044	882,718
  4,590	 -0,077	  0,103	700,063	882,700
  4,600	 -0,085	  0,103	700,071	882,693
  4,610	 -0,080	  0,103	699,994	882,715
  4,620	 -0,078	  0,105	699,987	882,718
  4,630	 -0,079	  0,108	700,005	882,718
  4,640	 -0,080	  0,108	700,023	882,718
  4,650	 -0,076	  0,108	700,067	882,718
  4,660	 -0,076	  0,101	700,065	882,718
  4,670	 -0,077	  0,097	700,062	882,718
  4,680	 -0,084	  0,099	700,092	882,718
  4,690	 -0,081	  0,100	700,108	882,718
  4,700	 -0,079	  0,098	700,043	882,718
  4,710	 -0,076	  0,097	700,033	882,718
  4,720	 -0,078	  0,094	700,072	882,718
  4,730	 -0,081	  0,093	700,062	882,718
  4,740	 -0,079	  0,092	700,028	882,718
  4,750	 -0,081	  0,095	700,031	882,718
  4,760	 -0,079	  0,097	700,036	882,718
  4,770	 -0,076	  0,103	700,024	882,718
  4,780	 -0,080	  0,104	700,017	882,718
  4,790	 -0,079	  0,099	700,021	882,718
  4,800	 -0,078	  0,100	700,021	882,718
  4,810	 -0,080	  0,108	700,067	882,718
  4,820	 -0,083	  0,110	700,061	882,718
  4,830	 -0,084	  0,114	700,032	882,718
  4,840	 -0,079	  0,110	700,045	882,718
  4,850	 -0,076	  0,107	700,067	882,718
  4,860	 -0,077	  0,103	700,068	882,718
  4,870	 -0,075	  0,102	700,068	882,718
  4,880	 -0,080	  0,099	700,016	882,718
  4,890	 -0,078	  0,098	699,999	882,718
  4,900	 -0,080	  0,092	700,032	882,718
  4,910	 -0,077	  0,090	700,041	882,715
  4,920	 -0,081	  0,087	700,085	882,693
  4,930	 -0,079	  0,091	700,067	882,701
  4,940	 -0,083	  0,095	700,029	882,718
  4,950	 -0,082	  0,100	700,026	882,718
  4,960	 -0,081	  0,102	700,024	882,718
  4,970	 -0,080	  0,097	700,012	882,718
  4,980	 -0,076	  0,097	700,007	882,718
  4,990	 -0,078	  0,104	700,045	882,718
  5,000	  0,716	  4,484	700,052	882,718
  5,010	 10,191	 16,326	700,074	882,718
  5,020	 10,929	 19,119	700,074	882,718
  5,030	 10,926	 22,398	700,074	882,718
  5,040	 10,921	 22,359	700,086	882,718
  5,050	 10,924	 22,338	700,101	882,718
  5,060	 10,929	 22,295	700,046	882,718
  5,070	 10,927	 22,286	700,017	882,718
  5,080	 10,928	 22,242	700,017	882,718
  5,090	 10,925	 22,232	700,018	882,718
  5,100	 10,924	 22,196	700,060	882,718
  5,110	 10,923	 22,179	700,071	882,718
  5,120	 10,919	 22,155	700,111	882,718
  5,130	 10,919	 22,136	700,100	882,718
  5,140	 10,922	 22,124	700,085	882,718
  5,150	 10,921	 22,097	700,079	882,703
  5,160	 10,924	 22,089	700,075	882,693
  5,170	 10,925	 22,055	700,017	882,693
  5,180	 10,926	 22,050	700,001	882,693
  5,190	 10,924	 22,029	700,013	882,741
  5,200	 10,920	 22,016	700,007	882,738
  5,210	 10,918	 21,992	699,978	882,718
  5,220	 10,923	 21,971	700,001	882,718
  5,230	 10,919	 21,954	700,040	882,718
  5,240	 10,917	 21,930	700,052	882,704
  5,250	 10,920	 21,922	700,062	882,693
  5,260	 10,920	 21,882	699,995	882,711
  5,270	 10,920	 21,874	699,971	882,718
  5,280	 10,924	 21,838	700,088	882,695
  5,290	 10,924	 21,827	700,103	882,696
  5,300	 10,924	 21,800	700,147	882,718
  5,310	 10,921	 21,786	700,134	882,718
  5,320	 10,920	 21,772	700,107	882,718
  5,330	 10,920	 21,755	700,074	882,718
  5,340	 10,918	 21,747	700,040	882,718
  5,350	 10,916	 21,714	700,032	882,718
  5,360	 10,918	 21,708	700,029	882,718
  5,370	 10,920	 21,680	700,060	882,718
  5,380	 10,919	 21,672	700,064	882,716
  5,390	 10,923	 21,650	700,064	882,693
