t[s]	U[V]	I[A]	Piro[C]	TC[C]
5.17	4.38	7.46	992.4	100.0
5.18	4.39	7.46	992.6	100.0
5.19	4.39	7.46	992.7	99.9
5.2	4.39	7.46	992.7	100.0
5.21	4.38	7.46	992.7	99.9
5.22	4.39	7.46	993.0	99.9
5.23	4.39	7.45	993.1	99.9
5.24	4.4	7.45	993.3	100.0
5.25	4.37	7.46	993.4	99.9
5.26	4.38	7.45	993.6	100.0
5.27	4.39	7.45	993.6	99.9
5.28	4.39	7.45	993.6	100.0
5.29	4.4	7.45	993.5	99.9
5.3	4.38	7.45	993.6	100.0
5.31	4.38	7.45	993.6	99.9
5.32	4.38	7.44	993.8	100.0
5.33	4.39	7.45	993.9	100.0
5.34	4.39	7.44	993.9	100.0
5.35	4.39	7.45	993.8	99.9
5.36	4.39	7.44	993.9	100.0
5.37	4.39	7.45	994.2	100.0
5.38	4.4	7.44	994.3	100.0
5.39	4.4	7.44	994.4	100.0
5.4	4.39	7.44	994.7	100.0
5.41	4.4	7.43	994.8	100.0
5.42	4.41	7.44	994.8	99.9
5.43	4.38	7.43	994.8	100.0
5.44	4.4	7.44	995.1	100.0
5.45	4.4	7.44	995.1	100.0
5.46	4.39	7.44	995.0	100.0
5.47	4.39	7.43	995.0	99.9
5.48	4.4	7.43	995.1	100.0
5.49	4.38	7.43	995.3	99.9
5.5	4.39	7.43	995.4	99.9
5.51	4.38	7.43	995.4	100.0
5.52	4.39	7.43	995.4	100.0
5.53	4.4	7.43	995.4	100.0
5.54	4.4	7.43	995.3	99.9
5.55	4.38	7.43	995.6	100.0
5.56	4.39	7.43	995.9	100.0
5.57	4.4	7.42	996.0	100.0
5.58	4.38	7.42	996.1	100.0
5.59	4.4	7.42	996.2	100.0
5.6	4.37	7.42	996.3	100.0
5.61	4.38	7.42	996.3	100.0
5.62	4.4	7.42	996.5	99.9
5.63	4.39	7.42	996.6	100.0
5.64	4.38	7.42	996.6	100.0
5.65	4.39	7.42	996.5	99.9
5.66	4.39	7.41	996.5	99.9
5.67	4.41	7.42	996.9	100.0
5.68	4.4	7.41	997.0	99.9
5.69	4.37	7.41	997.1	100.0
5.7	4.38	7.41	997.3	100.1
5.71	4.41	7.41	997.4	99.9
5.72	4.38	7.41	997.4	100.0
5.73	4.38	7.41	997.4	100.0
5.74	4.38	7.41	997.4	100.0
5.75	4.39	7.4	997.4	100.0
5.76	4.41	7.41	997.4	99.9
5.77	4.39	7.41	997.5	100.0
5.78	4.38	7.41	997.3	99.9
5.79	4.4	7.4	997.4	100.0
5.8	4.41	7.4	997.4	100.0
5.81	4.38	7.4	997.5	99.9
5.82	4.39	7.4	997.7	100.0
5.83	4.38	7.4	997.8	100.0
5.84	4.39	7.4	997.7	99.9
5.85	4.4	7.4	997.9	99.9
5.86	4.39	7.4	998.1	100.1
5.87	4.38	7.4	998.0	100.0
5.88	4.41	7.4	998.0	100.0
5.89	4.4	7.39	998.1	100.0
5.9	4.38	7.4	998.2	99.9
5.91	4.39	7.39	998.2	99.9
5.92	4.39	7.39	998.2	100.0
5.93	4.39	7.39	998.3	99.9
5.94	4.4	7.39	998.5	99.9
5.95	4.38	7.39	998.6	100.0
5.96	4.39	7.39	998.5	99.9
5.97	4.37	7.39	998.7	100.0
5.98	4.39	7.39	998.9	100.0
5.99	4.39	7.39	998.9	100.0
6.0	4.39	7.38	998.8	100.0
6.01	4.4	7.39	998.9	100.0
6.02	4.4	7.38	998.8	100.0
6.03	4.4	7.38	998.9	100.0
6.04	4.37	7.38	998.9	100.0
6.05	4.39	7.38	999.2	100.0
6.06	4.4	7.38	999.3	100.0
6.07	4.39	7.38	999.2	100.0
6.08	4.39	7.38	999.2	99.9
6.09	4.39	7.38	999.4	100.0
6.1	4.39	7.38	999.5	100.0
6.11	4.38	7.38	999.5	100.1
6.12	4.39	7.37	999.5	99.9
6.13	4.39	7.37	999.5	100.0
6.14	4.38	7.37	999.6	99.9
6.15	4.4	7.37	999.5	99.9
6.16	4.38	7.37	999.5	100.0
6.17	4.39	7.37	999.8	100.0
6.18	4.39	7.37	999.7	100.0
6.19	4.39	7.37	1000.0	100.0
6.2	4.39	7.37	1000.1	100.0
6.21	4.38	7.37	1000.1	99.9
6.22	4.4	7.36	1000.3	100.0
6.23	4.4	7.37	1000.3	100.0
6.24	4.4	7.36	1000.2	100.0
6.25	4.37	7.36	1000.3	100.0
6.26	4.38	7.36	1000.1	100.0
6.27	4.4	7.36	1000.2	99.9
6.28	4.39	7.36	1000.4	100.0
6.29	4.39	7.36	1000.4	100.0
6.3	4.38	7.36	1000.4	100.0
6.31	4.39	7.36	1000.5	100.0
6.32	4.4	7.36	1000.7	100.0
6.33	4.39	7.36	1000.7	100.0
6.34	4.38	7.36	1000.7	100.0
6.35	4.39	7.35	1000.7	100.0
6.36	4.4	7.35	1000.8	100.0
6.37	4.39	7.35	1000.8	100.0
6.38	4.38	7.35	1000.9	100.0
6.39	4.37	7.35	1000.9	99.9
6.4	4.39	7.35	1000.9	99.9
6.41	4.41	7.35	1000.9	99.9
6.42	4.4	7.35	1001.0	100.0
6.43	4.39	7.35	1000.9	99.9
6.44	4.4	7.35	1001.2	100.0
6.45	4.4	7.35	1001.2	99.9
6.46	4.4	7.34	1001.2	100.0
6.47	4.38	7.34	1001.4	100.0
6.48	4.37	7.34	1001.5	100.0
6.49	4.38	7.34	1001.5	100.0
6.5	4.41	7.34	1001.5	100.0
6.51	4.38	7.34	1001.6	100.0
6.52	4.39	7.34	1001.5	100.0
6.53	4.4	7.34	1001.5	100.0
6.54	4.4	7.34	1001.7	100.0
6.55	4.41	7.34	1001.6	100.0
6.56	4.39	7.34	1001.5	99.9
6.57	4.37	7.33	1001.5	100.0
6.58	4.4	7.33	1001.6	100.0
6.59	4.39	7.33	1001.7	100.0
6.6	4.37	7.33	1001.8	99.9
6.61	4.38	7.33	1001.8	100.0
6.62	4.38	7.33	1001.9	100.0
6.63	4.39	7.33	1001.9	100.0
6.64	4.39	7.33	1001.9	100.0
6.65	4.39	7.33	1002.1	100.0
6.66	4.41	7.33	1002.1	99.9
6.67	4.4	7.33	1002.4	100.0
6.68	4.39	7.33	1002.4	99.9
6.69	4.37	7.33	1002.4	100.0
6.7	4.38	7.32	1002.4	100.0
6.71	4.39	7.32	1002.5	100.0
6.72	4.41	7.32	1002.4	99.9
6.73	4.39	7.32	1002.7	100.0
6.74	4.39	7.32	1002.7	100.0
6.75	4.39	7.32	1002.7	100.0
6.76	4.39	7.32	1002.7	100.0
6.77	4.4	7.32	1002.6	99.9
6.78	4.38	7.32	1002.7	100.0
6.79	4.4	7.32	1002.8	100.0
6.8	4.39	7.32	1003.0	100.0
6.81	4.4	7.32	1003.0	100.0
6.82	4.38	7.31	1003.0	100.0
6.83	4.37	7.31	1003.0	100.0
6.84	4.39	7.31	1002.9	100.0
6.85	4.4	7.31	1003.0	100.0
6.86	4.39	7.31	1003.0	100.0
6.87	4.39	7.31	1003.0	100.0
6.88	4.39	7.31	1002.9	99.9
6.89	4.38	7.31	1003.0	100.0
6.9	4.38	7.31	1002.9	99.9
